State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
NY,2020,"8,415","12,035","5,995",779,"1,561","24,135",630,341,840,131,607,45,750,"1,266","3,105","3,137","7,308","1,067","1,013","11,868","1,693",0,372,23,122,4,"1,026",596
NY,2021,"8,968","12,936","6,185","1,040","2,098","23,688",760,481,711,148,851,49,"1,011","1,391","3,254","3,163","6,765","1,307","1,191","11,781","1,947",2,233,28,100,13,"1,246",590
OH,2019,"6,245","15,768","2,389",293,"2,349","20,745",278,"1,061","1,902",418,959,211,283,"1,595","4,339","8,260","5,854",582,"1,773","14,139","2,897",0,"1,669",112,130,23,565,"1,414"
OH,2020,"4,560","11,492","3,249",205,"1,813","17,645",231,450,"1,316",704,480,27,125,809,"3,258","5,693","5,965",440,"1,050","11,975","2,318",0,"1,169",36,96,16,361,722
OH,2021,"5,688","11,022","2,923",137,"2,152","18,106",261,591,594,466,542,3,94,835,"3,242","6,946","5,401",471,"1,341","11,817","2,698",5,"1,058",50,116,18,431,863
OK,2019,"1,933","2,248","3,319",0,"1,051","4,502",73,"2,130",665,435,586,13,1,267,"4,441","13,356","3,382",383,"1,510","8,465","2,868",0,"7,723",34,407,84,353,"3,195"
OK,2020,"2,009","2,163","2,940",11,225,"4,720",62,"1,582",533,353,291,6,10,176,"3,823","10,697","2,687",387,"1,119","8,125","2,408",0,"6,467",26,170,138,343,"1,549"
OK,2021,"1,932","1,884","2,236",15,"1,395","5,448",72,687,559,283,330,17,5,239,"3,783","10,868","2,806",385,"2,028","8,112","2,588",0,"6,133",32,200,92,366,"1,959"
OR,2019,"8,265","8,832","5,713",536,"1,219","18,140",721,"1,092","2,215",46,431,6,530,"1,067","4,596","5,709","5,569",649,"1,035","10,708","4,718",0,734,10,87,3,624,663
OR,2020,"6,395","7,628","3,773",403,630,"14,043",602,467,"2,092",16,296,4,394,777,"3,108","4,225","2,942",554,836,"6,630","3,682",0,556,5,48,1,509,460
OR,2021,"6,038","6,950","3,022",379,649,"12,985",499,675,"1,294",100,261,6,332,756,"2,973","4,133","2,785",605,"1,029","6,262","3,522",1,471,14,57,2,520,526
PA,2019,"6,217","8,807","4,501",662,"2,103","18,707",293,283,510,100,639,50,524,"1,548","3,595","3,511","4,990",760,"2,211","11,464","2,001",1,445,14,114,37,750,657
PA,2020,"5,283","8,739","3,869",426,"1,715","17,021",302,195,470,208,489,23,211,"1,035","3,170","2,766","4,936",674,"1,291","9,499","1,587",0,362,19,69,5,362,527
PA,2021,"4,406","8,494","4,217",412,"1,528","15,614",286,208,342,37,648,34,182,"1,151","2,784","3,047","4,380",637,987,"8,586","1,748",26,230,55,81,9,325,552
PR,2019,403,"1,219",0,122,97,234,3,0,8,0,3,4,156,"1,281",895,762,0,224,148,790,27,0,110,12,15,4,231,854
PR,2020,152,318,23,113,43,172,0,5,25,0,12,1,143,298,368,372,181,205,63,698,21,0,100,0,9,1,202,203
PR,2021,359,648,19,159,53,226,4,9,25,0,13,9,169,757,526,313,168,265,101,659,24,1,92,0,16,1,270,301
RI,2019,820,376,387,50,181,"1,406",48,45,183,0,21,1,48,89,400,538,796,102,188,"1,300",454,0,176,0,2,0,106,64
RI,2020,678,382,350,6,303,"1,237",137,38,226,0,85,0,5,37,381,336,924,37,160,"1,338",359,0,113,0,10,1,37,44
RI,2021,782,541,529,2,241,"1,447",80,83,255,93,85,0,2,26,513,366,809,11,140,"1,193",329,0,206,1,12,2,13,45
SC,2019,"4,540","13,214","1,254",98,"2,321","11,720",280,"2,965","1,592",73,589,510,57,"2,754","4,741","12,136","5,046",212,652,"13,976","2,333",1,"4,801",74,158,248,117,894
SC,2020,"3,576","12,484","1,377",141,"2,202","11,395",384,"2,549","1,806","1,870",675,145,76,"2,403","3,882","9,415","3,612",188,856,"10,942","2,036",1,"3,969","1,884",144,69,131,785
SC,2021,"4,192","14,653","1,446",58,"1,988","12,890",363,"2,868","2,219",48,862,50,52,"2,643","4,664","9,804","3,536",109,941,"11,267","2,274",3,"4,141",128,150,43,88,971
SD,2019,332,397,52,7,6,495,8,0,172,0,39,0,0,50,332,265,113,3,19,498,29,0,184,0,2,0,1,9
SD,2020,341,319,27,0,0,513,13,0,154,0,7,0,0,11,356,135,61,3,5,424,13,1,161,0,2,0,0,5
SD,2021,362,495,79,0,18,530,18,22,334,6,5,0,0,35,327,478,136,3,22,609,13,0,271,0,1,0,0,12
TN,2019,"6,187","14,292","2,013",54,"3,370","14,192",507,"2,749","3,441","2,753",767,30,63,"2,404","10,003","18,820","3,595",281,"5,354","15,247","5,216",137,"13,385","1,266",391,49,301,"2,717"
TN,2020,"4,962","11,169","1,701",61,"3,978","12,129",704,"2,425","3,132","2,281",618,42,53,"1,353","9,031","13,482","2,615",189,"6,226","12,711","4,256",17,"12,411","1,322",430,17,195,"1,472"
TN,2021,"5,508","11,440","2,012",100,"4,197","12,978","1,107","2,061","3,096","1,499",751,22,58,"1,385","9,852","14,982","2,129",235,"4,453","12,151","4,741",6,"10,010","1,109",415,18,171,"1,578"
TX,2019,"22,853","51,155","19,163","2,308","5,851","48,424","2,169","15,344","14,125","2,358","4,256",381,"2,213","10,889","34,527","75,452","28,565","2,872","9,049","68,388","26,704",3,"37,373","1,646","1,879",202,"2,570","11,400"
TX,2020,"14,847","37,808","22,200",721,"5,609","45,439","1,591","9,104","19,753","1,895","2,616",243,670,"4,284","22,858","48,365","29,867","1,788","10,347","53,359","16,273",6,"44,267","2,774","1,297",137,"1,598","3,860"
TX,2021,"16,254","37,195","22,732",740,"5,724","48,910","1,394","6,334","15,066","1,829","3,516",128,693,"4,734","24,068","48,134","27,449","1,980","8,795","50,895","13,366",9,"33,836","1,412","1,399",108,"1,857","5,234"
UT,2019,"2,980","9,546","3,533","1,170","2,090","9,596",821,"1,764","4,148","1,851",456,4,472,"1,327","3,258","9,253","4,540","2,126",863,"10,230","6,327",0,"1,413",335,82,4,"1,310",440
UT,2020,"3,218","7,620","3,675",602,796,"8,792",522,"1,391","3,721",523,267,9,439,737,"2,480","6,983","3,220","1,453",540,"7,573","4,376",13,"1,299",231,52,3,"1,167",327
UT,2021,"4,439","9,034","2,552",404,"2,033","9,260",686,"2,273","3,840",554,273,5,381,948,"3,210","6,739","3,305","1,153","1,492","7,865","4,637",0,"1,282",356,64,3,"1,111",384
VA,2019,"5,142","5,622","6,977",2,425,"12,894",464,276,"2,478",57,454,8,15,"1,502","4,070","4,436","7,551",0,959,"11,645","2,764",1,"1,956",29,111,5,17,672
VA,2020,"4,915","4,912","8,663",3,302,"14,291",412,306,"2,714",5,387,25,25,592,"2,989","3,663","8,399",10,870,"11,694","2,344",0,"1,687",5,131,6,20,321
VA,2021,"5,171","5,155","7,500",29,425,"13,424",462,0,"2,991",0,467,35,21,575,"3,498","3,593","6,985",38,626,"9,919","2,393",0,"1,833",0,105,8,22,267
VI,2019,183,135,0,0,892,218,15,619,84,28,18,3,0,117,841,846,21,0,110,479,133,2,701,81,18,2,0,406
VI,2020,162,72,0,0,708,211,10,440,100,36,14,0,0,68,665,702,8,0,164,462,85,0,576,155,9,3,0,249
VI,2021,165,59,0,0,917,228,19,673,75,67,15,0,0,64,814,624,14,0,89,518,87,3,462,81,16,9,0,387
VT,2019,"1,562",921,737,17,189,"2,936",99,3,78,31,60,0,16,205,504,281,499,14,48,"1,012",200,0,24,4,2,0,13,94
VT,2020,"1,259",775,831,7,130,"2,504",89,1,62,26,52,0,7,171,368,186,248,8,60,628,142,0,9,18,22,0,8,80
VT,2021,"1,449",814,958,2,162,"2,892",97,12,19,56,110,4,0,204,450,193,402,0,75,820,137,0,7,24,5,0,0,63
WA,2019,"9,676","24,108","11,551",479,"1,845","33,481","1,542",886,"6,137",254,"1,138",50,461,"2,559","4,684","11,384","6,700",761,"1,105","14,401","6,952",2,"1,324",1,88,11,755,904
WA,2020,"8,564","17,387","9,535",413,"1,576","29,317","1,244","1,381","3,469",229,930,33,398,"1,715","3,023","7,946","3,197",616,720,"8,400","5,187",11,"1,086",2,54,5,618,621
WA,2021,"9,463","18,403","9,864",436,"1,649","29,452","1,365","1,485","2,845",167,"1,092",40,413,"1,814","3,297","8,240","3,303",687,879,"8,258","5,471",2,740,12,66,6,662,681
WI,2019,"8,585","15,653","3,019",707,"1,143","19,121","1,922",913,"2,408",120,677,24,777,"2,103","3,751","8,206","4,848",796,"1,045","9,413","5,050",51,"1,195",24,128,2,776,"1,193"
WI,2020,"7,427","13,607","3,074",618,"1,369","20,456","1,217",812,"1,075",241,598,6,595,"1,570","2,989","6,005","4,899",618,833,"9,301","4,180",0,663,26,48,0,596,785
WI,2021,"7,216","12,731","2,636",565,"2,081","18,836","1,250",950,"1,057",311,566,16,556,"1,491","2,699","6,388","4,152",625,"1,307","8,611","4,588",0,545,285,79,1,610,997
WV,2019,"1,718","4,903",10,3,76,"4,433",62,3,"1,237",205,400,1,2,483,"2,676","5,097",164,9,202,"3,196",949,2,"3,566",125,77,6,8,184
WV,2020,"1,208","5,146",30,0,85,"3,455",90,15,"1,767",86,362,33,1,630,"2,250","4,109",172,9,102,"2,916",919,1,"2,707",72,63,5,0,159
WV,2021,"1,588","6,060",524,0,166,"5,072",85,192,"1,854",65,503,0,1,581,"2,605","5,049","1,781",1,331,"5,306","1,459",2,"2,428",86,95,12,0,197
WY,2019,"1,080","1,874",364,26,"1,140","2,499",196,70,241,724,115,4,29,476,831,"1,112",779,60,"1,735","1,975","1,467",1,114,752,28,0,65,159
WY,2020,819,"1,458",394,24,"1,112","2,184",155,72,187,745,45,4,23,218,526,"1,102",804,58,750,"1,662","1,024",0,57,397,11,1,58,113
WY,2021,894,"1,240",557,19,"1,120","2,362",175,17,118,605,54,4,19,169,614,801,660,58,"1,034","1,510",960,0,59,398,7,2,59,113
